,beta,p_perm,p_perm_fdr0.05,type,color
TMIE,0.0004849323691876884,0.0403,False,nosig,grey
ARHGDIA,0.0004849186882313385,0.0145,False,nosig,grey
HTR4,0.0004847036758281962,0.1563,False,nosig,grey
NKIRAS2,0.00048456018838235045,0.0045,False,nosig,grey
ARG2,0.00048426125587657366,0.0023,False,nosig,grey
FNDC3B,0.00048412724053188336,0.0238,False,nosig,grey
CCDC68,0.00048412119817339676,0.1162,False,nosig,grey
FKBP1A,0.0004839285053445498,0.002,False,nosig,grey
MX2,0.00048390845100915793,0.0749,False,nosig,grey
WDR66,0.00048380470859875504,0.2029,False,nosig,grey
TTC21A,0.00048366074154612546,0.0117,False,nosig,grey
FAM111A-DT,0.00048344148419011046,0.0393,False,nosig,grey
ELANE,0.00048317045324731115,0.1063,False,nosig,grey
ZNF334,0.0004831202954771435,0.0235,False,nosig,grey
NDUFB3,0.00048213533583923925,0.1665,False,nosig,grey
EFHD2,0.00048189433047909636,0.0172,False,nosig,grey
ITGA9,0.000481817721918598,0.086,False,nosig,grey
SERPING1,0.00048177258283751213,0.1268,False,nosig,grey
PTCHD1,0.00048115250057669673,0.089,False,nosig,grey
PLK3,0.000480313057902415,0.0317,False,nosig,grey
CAMK2N1,0.0004798965151760946,0.0758,False,nosig,grey
CCDC125,0.00047959184072669824,0.0192,False,nosig,grey
VSTM1,0.0004794107895548831,0.0866,False,nosig,grey
LY6H,0.00047890755916200634,0.0496,False,nosig,grey
CARMIL1,0.00047867149694654084,0.0017,False,nosig,grey
GPR85,0.0004776613437729212,0.0436,False,nosig,grey
TSR1,0.0004773619200927653,0.0247,False,nosig,grey
OLR1,0.0004773491604764738,0.0661,False,nosig,grey
TSGA10,0.0004772838876737677,0.0573,False,nosig,grey
LINC01158,0.000477197499252087,0.2317,False,nosig,grey
CACNB2,0.0004768209910097011,0.0195,False,nosig,grey
MRPS30,0.0004767196898328495,0.0063,False,nosig,grey
NTNG1,0.0004762890890625951,0.4021,False,nosig,grey
RAB40AL,0.0004757429732343643,0.0955,False,nosig,grey
SAP30L,0.0004755908543563462,0.1108,False,nosig,grey
IDE,0.00047556025183402627,0.0016,False,nosig,grey
ANKRD30BP2,0.0004753857862176655,0.1167,False,nosig,grey
LRRTM3,0.00047527411989678063,0.0583,False,nosig,grey
CHL1,0.0004751854271737964,0.0648,False,nosig,grey
CCDC90B,0.000474738094080036,0.0868,False,nosig,grey
PPM1K,0.00047447715740769815,0.0381,False,nosig,grey
LINC00260,0.00047436396055477526,0.0083,False,nosig,grey
PPP1R1A,0.0004742313912619788,0.262,False,nosig,grey
PLCB2,0.0004742269948786238,0.2655,False,nosig,grey
COL13A1,0.00047399833962029385,0.157,False,nosig,grey
ELMO1,0.00047364373318084383,0.1666,False,nosig,grey
ELF2,0.0004736009550994003,0.0081,False,nosig,grey
SALL1,0.00047348461788195923,0.2242,False,nosig,grey
LHX3,0.0004733912043988089,0.003,False,nosig,grey
PYY,0.00047300041522736053,0.0582,False,nosig,grey
KIN,0.000472953279260913,0.0098,False,nosig,grey
TSPYL5,0.0004724531763197731,0.0003,False,nosig,grey
SLC29A3,0.00047243022249393124,0.0225,False,nosig,grey
ANGPT1,0.00047233332251414757,0.031,False,nosig,grey
KLHDC8A,0.000472264669468008,0.0747,False,nosig,grey
CACNA1H,0.0004721404255395648,0.1052,False,nosig,grey
BRINP1,0.00047203200197586614,0.0022,False,nosig,grey
RAD54B,0.00047117140980885834,0.0458,False,nosig,grey
SLC33A1,0.00047057290031620103,0.0122,False,nosig,grey
C4orf47,0.0004692479788556427,0.2384,False,nosig,grey
UBXN10,0.00046924079196751875,0.1353,False,nosig,grey
SPTLC1,0.00046855172397711697,0.0277,False,nosig,grey
KATNAL2,0.0004684552064371099,0.0314,False,nosig,grey
ACOX1,0.00046799289429479254,0.0116,False,nosig,grey
COPG1,0.00046781294034701126,0.0806,False,nosig,grey
NIP7,0.00046771885653651733,0.0025,False,nosig,grey
